Date,MMM,ABT,ABBV,ABMD,ACN,ATVI,ADBE,AMD,AAP,AES,AMG,AFL,A,APD,AKAM,ALK,ALB,ARE,ALXN,ALGN,ALLE,AGN,ADS,LNT,ALL,GOOGL,GOOG,MO,AMZN,AMCR,AEE,AAL,AEP,AXP,AIG,AMT,AWK,AMP,ABC,AME,AMGN,APH,ADI,ANSS,ANTM,AON,AOS,APA,AIV,AAPL,AMAT,APTV,ADM,ARNC,ANET,AJG,AIZ,ATO,T,ADSK,ADP,AZO,AVB,AVY,BHGE,BLL,BAC,BK,BAX,BBT,BDX,day,month
2018/01/02,223.9908142,57.01773453,90.95749664,192.4900055,149.8718567,63.47029495,177.6999969,10.97999954,105.8308105,10.19754601,199.3349915,42.07013321,66.69569397,159.2123413,65.55999756,72.30517578,127.8118057,124.2061081,124.0500031,224.6199951,78.47689819,164.8909149,249.4374847,39.86138916,98.40556335,1073.209961,1065,63.95169067,1189.01001,10.84128666,55.5660553,52.00645828,68.14624786,96.47824097,56.86608124,136.8626099,86.04155731,162.2819672,91.11222839,71.86211395,167.9815369,86.30244446,87.11222076,148.5500031,221.3993378,128.7870178,59.86554337,42.21173477,40.89256668,167.701889,51.436306,84.56673431,37.91452026,27.31303406,231.0299988,59.84361267,95.2744751,81.9090271,34.70586777,107.1200027,111.9059906,736.539978,168.6177063,111.7571945,30.75710297,38.0281105,28.86383438,51.83751297,65.95133972,47.20500183,213.0799561,2,1
2018/01/03,223.981308,57.1438179,92.380867,195.8200073,150.5635376,64.45723724,181.0399933,11.55000019,106.7884674,10.18817139,198.4317627,42.19447708,68.39267731,160.0781097,65.94000244,71.96780396,128.0644684,123.6229858,124.9499969,231.1999969,78.81079865,164.7166595,254.0681,39.51114655,98.46350098,1091.52002,1082.47998,63.71664429,1204.199951,10.84128666,55.28056717,51.36851883,67.57216644,97.07306671,57.4968605,137.3959656,85.4330368,161.4796906,91.45133209,72.49430084,171.1513672,87.42299652,88.1929245,151.4199982,224.4852295,130.8438568,60.22553253,43.19318008,40.94902802,167.6726685,52.3478775,85.97109985,37.62134552,27.52949142,235.6000061,60.29602814,95.54331207,81.23478699,33.90441513,109.3799973,113.1216278,749.4299927,169.1409149,112.076004,31.99769211,37.92966461,28.76729965,52.15535736,67.0117569,47.71562576,215.1829834,3,1
2018/01/04,226.9090729,57.04683304,91.85403442,199.25,152.3463287,63.81573105,183.2200012,12.11999989,110.7288132,10.1506815,194.9171143,42.62966537,67.8796463,160.6937408,65.59999847,71.18700409,126.5388412,121.1566467,122.6900024,233.3000031,79.91070557,166.1107635,257.9562073,39.04730988,97.32418823,1095.76001,1086.400024,63.46351242,1209.589966,10.84128666,54.65248489,51.69239044,66.77219391,98.68769836,57.72624588,135.3885651,84.62168884,162.0718536,91.24785614,73.07710266,170.4300842,87.11826324,88.09643555,151.8200073,225.5236664,132.6362152,60.50769043,44.63199997,40.29964828,168.4515076,52.64850616,87.31655121,38.25498199,28.84791374,232.6900024,60.85432053,96.06177521,80.88804626,34.21959305,112.0699997,114.2022018,761.2600098,166.1156311,112.8198929,33.04742813,37.75247192,29.14378548,52.67546463,67.16886902,48.29245377,216.1611328,4,1
2018/01/05,228.677124,57.21170807,93.45302582,202.3200073,153.6030579,65.50340271,185.3399963,11.88000011,111.9059372,10.18817139,195.8301392,42.91181946,68.96492767,162.0404663,65.83000183,71.08097076,127.9964447,121.4051895,122.8000031,241.0700073,80.1071167,166.798111,258.6498413,38.88639069,98.35729218,1110.290039,1102.22998,63.64432907,1229.140015,10.84128666,54.61441803,51.67277145,66.63102722,98.9127655,57.96517944,136.2613525,83.79102325,162.625824,92.35236359,72.88941956,171.4455414,88.17984772,88.45343781,152.4499969,229.5695496,133.762619,61.28605652,44.20321274,40.05495453,170.3693848,52.94913101,89.92887115,37.9996376,29.13324356,236.7700043,61.13346481,97.27155304,80.1271286,34.34566498,110.8399963,114.1346588,775.5,165.7826691,114.1530914,32.86610794,37.98872757,29.27893448,52.81031418,67.92488098,48.44375229,217.2273102,5,1
2018/01/08,227.9356537,57.04683304,91.95570374,207.8000031,154.8305511,65.76000214,185.0399933,12.27999973,111.1178589,10.18817139,196.8707733,43.02182007,69.11291504,162.2136383,65.87999725,70.12666321,133.5644836,121.6728516,119.6999969,248.8999939,79.78305054,165.1232605,257.2235718,39.32181931,97.89383698,1114.209961,1106.939941,63.56296158,1246.869995,10.84128666,55.26152802,51.16241455,67.21452332,98.00270844,57.58287811,137.7160034,84.51544952,164.2781219,93.88319397,73.3734436,171.3981171,89.12346649,88.60783386,153.7100067,227.1008759,133.7723846,61.57792664,43.75536728,40.36552811,169.7365875,54.22922134,90.28240967,37.91452026,29.28083229,251.0599976,61.171978,95.72573853,80.37755585,34.44472122,111.4199982,113.7873383,766.4799805,165.9063416,114.5781631,32.9329071,38.01826859,29.07621384,53.03183746,68.02306366,48.69906616,216.562149,8,1
2018/01/09,229.352005,57.1438179,92.64889526,209.7599945,155.3468781,65.32575226,186.6999969,11.81999969,110.2200623,10.08507347,196.6155243,43.04094696,70.80990601,162.6272583,67.48999786,68.7193222,131.6112823,120.7551498,121.8000031,251.4400024,81.44272614,170.0510101,261.7760315,38.72546768,97.45935059,1112.790039,1106.26001,62.8939743,1252.699951,10.84128666,54.54780579,51.11334991,66.42398834,98.36476898,57.94606018,136.7850342,83.752388,166.2647552,94.48387909,73.09686279,174.0364685,89.26108551,88.42448425,155.1399994,229.8830719,134.1053772,61.52928925,42.44995117,39.50909042,169.7171173,53.20126724,91.08773041,38.03746033,29.33002472,249.9799957,61.24898148,95.15925598,79.54920959,34.20748901,112.1100006,114.5784683,770.9500122,164.6505585,114.8776627,33.429142,37.90013885,29.22101212,53.5134201,68.12124634,49.2569809,221.4724579,9,1
2018/01/10,229.2189178,57.05652618,92.14057159,208.1399994,154.8013306,65.95740509,187.1100006,11.96000004,110.319809,10.10381699,194.760025,43.39484024,69.84302521,161.9442749,66.33000183,69.45191193,129.2013855,119.7609558,121.4599991,248.3099976,81.11865234,168.443924,265.81073,38.04391098,96.96694183,1110.140015,1102.609985,63.54487991,1254.329956,10.84128666,53.74843216,52.78178787,65.40759277,99.04976654,58.2996788,133.4490509,82.77684021,167.9361877,94.18352509,72.82028198,173.5429382,87.98327637,86.94818878,152.1100006,229.1287231,133.8507233,61.69468689,41.9163475,39.01969528,169.6781616,51.68843842,88.83877563,37.7442894,29.31034851,252.2799988,61.19122314,92.64368439,77.82512665,33.41366196,111.4700012,113.5075531,767.7800293,162.643219,114.5685043,33.84903717,37.26026535,29.49131012,55.18933105,67.18849182,49.8432579,219.6531219,10,1
2018/01/11,230.3311157,57.44632721,92.41052246,210.1499939,155.0059052,68.33592224,188.9199982,12.14000034,112.6740494,10.27252674,197.057312,43.84915924,69.85288239,163.5026398,65.20999908,72.11238098,130.8824921,119.5888901,122.4800034,252.9100037,82.86673737,171.4741669,267.3053894,37.71260452,97.30487823,1112.050049,1105.52002,63.54487991,1276.680054,10.84128666,53.43439102,55.37278366,64.68293762,98.57028198,58.44304276,130.888855,81.84959412,170.9447937,95.08456421,73.65989685,172.6888123,89.24143219,87.99029541,152.2100067,230.2161407,132.4893341,62.99843216,43.83160019,38.53971863,170.6419678,51.591465,90.41007996,38.35901642,29.91052628,260.7900085,61.02758789,91.97160339,77.05457306,33.285923,113.2600021,113.0541077,773.3099976,161.5110931,115.5152817,34.8319664,37.78200531,29.59749603,55.6998024,67.21794891,50.26878738,220.8855896,11,1
2018/01/12,232.3842926,57.33913422,93.40658569,215.1100006,155.9801178,69.44129944,195.0500031,12.02000046,115.6567535,10.34750843,199.0993652,40.62108994,70.77043915,163.6757965,65.51999664,70.86888885,129.7455444,119.6080093,122.7099991,258.4299927,83.51489258,170.4382629,269.9919434,37.41915894,98.5890274,1130.650024,1122.26001,62.93013,1305.199951,10.84128666,52.83485413,57.38473892,63.48771286,98.80512238,58.27100754,128.9784546,78.0729599,173.8673859,95.91779327,74.2822113,175.6118622,90.26369476,88.79117584,154.2200012,234.9380188,133.7430115,63.55302048,44.93691254,38.22913361,172.4040985,51.83390808,91.24485779,38.30226898,30.34344292,259.0299988,61.48962784,91.5875473,76.90046692,33.66914749,115.9100037,114.2986679,787.9299927,160.04599,115.3027344,35.4999733,37.30948639,30.10913277,56.26807404,67.10011292,50.24987411,222.7342834,12,1
2018/01/16,232.6409454,56.94933701,95.40802765,218.0899963,153.8855743,67.81285095,192.4600067,11.90999985,113.6217346,10.01009083,199.3055267,41.31451797,70.27713776,160.4051514,64.5,68.70968628,124.3815994,119.4263763,124.4800034,263.8800049,82.56230164,172.9650574,252.1142578,37.44755554,98.60832214,1130.699951,1121.76001,62.30634689,1304.859985,10.84128666,52.77775574,56.9038353,63.52534485,98.18862152,58.35702515,131.5289154,79.4155426,169.349762,96.45067596,73.99575806,176.0863953,89.72306824,89.83326721,153.3899994,236.8287506,131.774292,63.30978394,44.08887482,38.31383514,171.5278931,52.85215759,90.90113068,38.56707382,29.92036629,252.7700043,61.04683685,90.14733124,77.15088654,33.5049057,111.9800034,115.1862793,781.0200195,160.8070831,113.3995438,34.62201691,37.79184723,30.15739632,55.42048645,66.442276,50.19313812,223.5461121,16,1
